Country,X,Y
Iceland,-2.1199565,-1.9242017
Canada,-2.0755613,-1.6262969
Samoa,-2.0307603,-1.799452
Mozambique,-1.9765668,-1.8289495
Australia,-1.9356554,-1.5806718
Portugal,-1.930404,-1.6292384
Bulgaria,-1.9022721,-1.4028869
Cuba,-1.8780932,-1.8934189
Germany,-1.8503555,-2.0880113
Eritrea,-1.8182802,-1.5247247
New Zealand,-1.7344515,-1.709779
Luxembourg,-1.6906154,-2.2057595
Denmark,-1.6738256,-2.2939823
Norway,-1.6649281,-2.034064
Namibia,-1.4987562,-1.6738505
Trinidad and Tobago,-1.3084078,-1.1320804
India,-1.2692457,-3.4874113
Ireland,-1.1639482,-1.006597
Cabo Verde,-1.1598333,-1.2713919
Sweden,-1.1081073,-3.8848426
Poland,-1.0874553,-1.4221673
Zimbabwe,-1.086969,-3.970141
Romania,-1.005568,-0.99247396
Solomon Islands,-0.94680965,-1.0151198
Switzerland,-0.86676466,-4.5364227
France,-0.78312445,-4.792446
Belgium,-0.72487843,-5.3593893
Serbia,-0.6404681,-4.6792464
Japan,-0.6152978,-5.7601933
Montenegro,-0.60706925,-5.402204
Sri Lanka,-0.48691374,-4.7480993
Suriname,-0.474438,-6.06178
Croatia,-0.4654446,-4.637853
Finland,-0.4353761,-4.82118
South Africa,-0.3947414,-6.016344
Hungary,-0.3688575,-6.159978
Central African Republic,-0.32481837,-4.0575294
Botswana,-0.31884667,-6.267887
Austria,-0.31532663,-4.3164096
Uruguay,-0.20593026,-4.2751904
Vanuatu,-0.20235492,-4.407557
Slovenia,-0.16180377,-6.259563
Lithuania,-0.13311931,-6.8454313
Guyana,-0.056450665,-7.0213685
Kazakhstan,-0.052023605,-6.371296
Estonia,-0.03023363,-5.622993
Lesotho,-0.025251713,-6.872838
Mongolia,-0.009468401,-5.3679256
Russian Federation,0.030098941,-6.865773
Kiribati,0.052083597,-6.289944
Ukraine,0.061093736,-5.938886
Eswatini,0.07880566,-6.8005147
Latvia,0.15823022,-5.8027205
Belarus,0.20084392,-6.6487603
